file,#,organization-name,city-state,organization-type,position-held,from,to
Ivanka Trump NE278e,42,DT MARKS PUNE II LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,6/2014,1/2017
Ivanka Trump NE278e,43,DT MARKS PUNE II MANAGING MEMBER CORP (pass-thru company for DT MARKS PUNE II LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,6/2014,1/2017
Ivanka Trump NE278e,44,DT MARKS PUNE LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,1/2012,1/2017
Ivanka Trump NE278e,45,DT MARKS QATAR LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,46,DT MARKS QATAR MEMBER CORP (pass-thru company for DT MARKS QATAR LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,47,DT MARKS RIO LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,48,DT MARKS RIO MEMBER CORP (pass-thru company for DT MARKS RIO LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,3/2012,1/2017
Ivanka Trump NE278e,49,DT MARKS VANCOUVER LP (license holder),"New York, New York",Limited Partnership,Vice President,1/2013,1/2017
Ivanka Trump NE278e,50,DT MARKS VANCOUVER MEMBER CORP (pass-thru company for DT MARKS VANCOUVER LP (license holder)),"New York, New York",Corporation,Executive Vice President,1/2013,1/2017
Ivanka Trump NE278e,51,DT MARKS WORLI LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,5/2013,1/2017
Ivanka Trump NE278e,52,DT MARKS WORLI MEMBER CORP (pass-thru company for DT MARKS WORLI LLC (license deal)),"New York, New York",Corporation,Executive Vice President,5/2013,1/2017
Ivanka Trump NE278e,53,DT TOWER GURGAON LLC,"New York, New York",Limited Liability Company,Executive Vice President,3/2015,1/2017
Ivanka Trump NE278e,54,DT TOWER GURGAON MANAGING MEMBER CORP (license holder),"New York, New York",Corporation,Executive Vice President,3/2015,1/2017
Ivanka Trump NE278e,55,DT TOWER KOLKATA LLC (license holder),"New York, New York",Limited Liability Company,Executive Vice President,11/2015,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,56,DT TOWER KOLKATA MANAGING MEMBER CORP (pass-thru company for DT TOWER KOLKATA LLC (license holder)),"New York, New York",Corporation,Executive Vice President,11/2015,1/2017
Ivanka Trump NE278e,57,DTTM OPERATIONS LLC (pass-thru entity),"New York, New York",Limited Liability Company,Executive Vice President,1/2016,1/2017
Ivanka Trump NE278e,58,DTTM OPERATIONS MANAGING MEMBER CORP (pass-thru company for DTTM OPERATIONS LLC (pass-thru entity)),"New York, New York",Corporation,Executive Vice President,1/2016,1/2017
Ivanka Trump NE278e,59,GOLF PRODUCTIONS LLC (golf video production company),"New York, New York",Limited Liability Company,Vice President,6/2009,1/2017
Ivanka Trump NE278e,60,GOLF PRODUCTIONS MEMBER CORP (pass- thru company for GOLF PRODUCTIONS LLC (golf video production company)),"New York, New York",Corporation,Vice President,6/2009,1/2017
Ivanka Trump NE278e,61,IVANKA OPO HOTEL MANAGER LLC (management of DC hotel),"Washington, District of Columbia",Limited Liability Company,"President, Secretary, Member & Treasurer",6/2013,1/2017
Ivanka Trump NE278e,62,IVANKA OPO LLC,"Washington, District of Columbia",Limited Liability Company,"Member, President, Treasurer",6/2013,1/2017
Ivanka Trump NE278e,63,JUPITER GOLF CLUB LLC (golf club),"New York, New York",Limited Liability Company,Executive Vice President,9/2012,1/2017
Ivanka Trump NE278e,64,JUPITER GOLF CLUB MANAGING MEMBER CORP (pass-thru company for JUPITER GOLF CLUB LLC (golf club)),"New York, New York",Corporation,Executive Vice President,9/2012,1/2017
Ivanka Trump NE278e,65,LFB ACQUISITION MEMBER CORP (pass-thru company),"New York, New York",Corporation,Executive Vice President,11/2011,1/2017
Ivanka Trump NE278e,66,"MAR-A-LAGO CLUB, L.L.C. (a/k/a The Mar-A- Lago Club L.C.) (resort)","New York, New York",Limited Liability Company,Vice President,1/2010,1/2017
Ivanka Trump NE278e,67,"NITTO WORLD CO., LIMITED (dormant/inactive)","Turnberry, Scotland, Outside U.S.",Foreign Entity,Director,6/2014,1/2017
Ivanka Trump NE278e,68,OPO HOTEL MANAGER LLC (management of DC hotel),"New York, New York",Limited Liability Company,Executive Vice President,6/2013,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,69,OPO HOTEL MANAGER MEMBER CORP (pass-thru company for OPO HOTEL MANAGER LLC),"New York, New York",Corporation,Executive Vice President,6/2013,1/2017
Ivanka Trump NE278e,70,OWO DEVELOPER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,11/2014,1/2017
Ivanka Trump NE278e,71,PANAMA OCEAN CLUB MANAGEMENT LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,72,PANAMA OCEAN CLUB MANAGEMENT MEMBER CORP (pass-thru company for PANAMA OCEAN CLUB MANAGEMENT LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,73,PINE HILL DEVELOPMENT LLC (golf club),"New York, New York",Limited Liability Company,Executive Vice President,4/2014,1/2017
Ivanka Trump NE278e,74,PINE HILL DEVELOPMENT MANAGING MEMBER CORP (pass-thru company for PINE HILL DEVELOPMENT LLC (golf club)),"New York, New York",Corporation,Executive Vice President,4/2014,1/2017
Ivanka Trump NE278e,75,POKER VENTURE LLC (dormant/inactive),"New York, New York",Limited Liability Company,"Executive Vice President, Secretary & Treasurer",3/2012,1/2017
Ivanka Trump NE278e,76,POKER VENTURE MANAGING MEMBER CORP (pass-thru company for POKER VENTURE LLC (dormant/inactive)),"New York, New York",Corporation,"Executive Vice President, Secretary & Treasurer",3/2012,1/2017
Ivanka Trump NE278e,77,"SEVEN SPRINGS LLC (real estate in Mt. Kisco, NY)","New York, New York",Limited Liability Company,Executive Vice President,6/2010,1/2017
Ivanka Trump NE278e,78,SLC TURNBERRY LIMITED (golf courses & resort),"Turnberry, Scotland, Outside U.S.",Foreign Entity,Director,6/2014,1/2017
Ivanka Trump NE278e,79,T INTERNATIONAL REALTY LLC,"New York, New York",Limited Liability Company,Executive Vice President & Secretary,9/2012,1/2017
Ivanka Trump NE278e,80,TC MARKS BUENOS AIRES LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,4/2016,1/2017
Ivanka Trump NE278e,81,THC BAKU HOTEL MANAGER SERVICES LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,12/2014,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,82,THC BAKU HOTEL MANAGER SERVICES MEMBER CORP (pass-thru company for THC BAKU HOTEL MANAGER SERVICES LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,12/2014,1/2017
Ivanka Trump NE278e,83,THC BAKU SERVICES LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,12/2014,1/2017
Ivanka Trump NE278e,84,THC BAKU SERVICES MEMBER CORP (pass- thru company for THC BAKU SERVICES LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,12/2014,1/2017
Ivanka Trump NE278e,85,THC CENTRAL RESERVATIONS LLC (hotel company),"New York, New York",Limited Liability Company,Vice President,9/2013,1/2017
Ivanka Trump NE278e,86,THC CENTRAL RESERVATIONS MEMBER CORP (pass-thru company for THC CENTRAL RESERVATIONS LLC (hotel company)),"New York, New York",Corporation,Vice President,9/2013,1/2017
Ivanka Trump NE278e,87,THC CHINA DEVELOPMENT LLC (developer),"New York, New York",Limited Liability Company,Executive Vice President,9/2012,1/2017
Ivanka Trump NE278e,88,THC CHINA TECHNICAL SERVICES LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,5/2014,1/2017
Ivanka Trump NE278e,89,THC CHINA TECHNICAL SERVICES MANAGER CORP (pass-thru company for THC CHINA TECHNICAL SERVICES LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,5/2014,1/2017
Ivanka Trump NE278e,90,THC DC RESTAURANT HOSPITALITY LLC,"New York, New York",Limited Liability Company,Executive Vice President,8/2015,1/2017
Ivanka Trump NE278e,91,THC DEVELOPMENT BRAZIL LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,5/2013,1/2017
Ivanka Trump NE278e,92,THC DEVELOPMENT BRAZIL MANAGING MEMBER CORP (pass-thru company for THC DEVELOPMENT BRAZIL LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,5/2013,1/2017
Ivanka Trump NE278e,93,THC HOTEL DEVELOPMENT LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,10/2012,1/2017
Ivanka Trump NE278e,94,THC MIAMI RESTAURANT HOSPITALITY LLC (restaurant operations),"New York, New York",Limited Liability Company,Executive Vice President,2/2013,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,95,THC MIAMI RESTAURANT HOSPITALITY MEMBER CORP (pass-thru company for THC MIAMI RESTAURANT HOSPITALITY LLC (restaurant operations)),"New York, New York",Corporation,Executive Vice President,2/2013,1/2017
Ivanka Trump NE278e,96,THC QATAR HOTEL MANAGER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,97,THC QATAR HOTEL MANAGER MEMBER CORP (pass-thru company for THC QATAR HOTEL MANAGER LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,98,THC RIO MANAGER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,4/2013,1/2017
Ivanka Trump NE278e,99,THC RIO MANAGING MEMBER CORP (pass- thru company for THC RIO MANAGER LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,4/2013,1/2017
Ivanka Trump NE278e,100,THC SALES & MARKETING LLC (management company),"New York, New York",Limited Liability Company,Vice President,9/2013,1/2017
Ivanka Trump NE278e,101,THC SALES & MARKETING MEMBER CORP (pass-thru company for THC SALES & MARKETING LLC (management company)),"New York, New York",Corporation,Vice President,9/2013,1/2017
Ivanka Trump NE278e,102,THC SERVICES SHENZHEN LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,11/2014,1/2017
Ivanka Trump NE278e,103,THC SERVICES SHENZHEN MEMBER CORP (pass-thru company for THC SERVICES SHENZEN LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,11/2014,1/2017
Ivanka Trump NE278e,104,THC SHENZHEN HOTEL MANAGER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,11/2014,1/2017
Ivanka Trump NE278e,105,THC SHENZHEN HOTEL MANAGER MEMBER CORP (pass-thru company for THC HOTEL MANAGER LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,11/2014,1/2017
Ivanka Trump NE278e,106,THC VANCOUVER MANAGEMENT CORP (management company),"New York, New York",Corporation,Executive Vice President,1/2013,1/2017
Ivanka Trump NE278e,107,THC VANCOUVER PAYROLL ULC (payroll company),"British Columbia, Canada, Outside U.S.",Foreign Entity,Executive Vice President,2/2015,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,108,THC VENTURE II LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,109,THC VENTURE II MANAGING MEMBER CORP. (pass-thru company for THC VENTURE II LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,10/2014,1/2017
Ivanka Trump NE278e,110,THE TRUMP CORPORATION (management company),"New York, New York",Corporation,Vice President,5/2009,1/2017
Ivanka Trump NE278e,111,THE TRUMP FOLLIES MEMBER INC. (dormant/inactive),"New York, New York",Corporation,Executive Vice President,9/2010,1/2017
Ivanka Trump NE278e,112,THE TRUMP MARKS REAL ESTATE CORP (pass-thru company for TRUMP MARKS REAL ESTATE LLC (license holder)),"New York, New York",Corporation,Vice President,2/2007,1/2017
Ivanka Trump NE278e,113,"THE TRUMP ORGANIZATION, INC. (inactive/dormant)","New York, New York",Corporation,Vice President,3/2010,1/2017
Ivanka Trump NE278e,114,TIGL IRELAND ENTERPRISES LIMITED (golf course & resort),"Doonbeg, Ireland, Outside U.S.",Foreign Entity,Director,2/2014,1/2017
Ivanka Trump NE278e,115,TIGL IRELAND MANAGEMENT LIMITED (management company),"Doonbeg, Ireland, Outside U.S.",Foreign Entity,Director,2/2014,1/2017
Ivanka Trump NE278e,116,TIHC RESERVATIONS LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,117,TIHH MEMBER CORP (pass-thru company for TIHH MEMBER LLC (pass-thru company for TRUMP INTERNATIONAL HOTEL HAWAII LLC (license holder)),"New York, New York",Corporation,Vice President,9/2009,1/2017
Ivanka Trump NE278e,118,TIHH MEMBER LLC (pass-thru company for TRUMP INTERNATIONAL HOTEL HAWAII LLC (license holder)),"New York, New York",Limited Liability Company,Vice President,9/2009,1/2017
Ivanka Trump NE278e,119,TIHM MEMBER CORP (pass-thru company for TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC (management company)),"New York, New York",Corporation,Vice President,6/2006,1/2017
Ivanka Trump NE278e,120,TNGC CHARLOTTE LLC (golf club),"New York, New York",Limited Liability Company,Executive Vice President,10/2011,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,121,TNGC CHARLOTTE MANAGER CORP (pass- thru company for TNGC CHARLOTTE LLC (golf club)),"New York, New York",Corporation,Executive Vice President,10/2011,1/2017
Ivanka Trump NE278e,122,TNGC DUTCHESS COUNTY LLC (golf club),"New York, New York",Limited Liability Company,Vice President,11/2009,1/2017
Ivanka Trump NE278e,123,TNGC DUTCHESS COUNTY MEMBER CORP (pass-thru company for TNGC DUTCHESS COUNTY LLC (golf club)),"New York, New York",Corporation,Vice President,11/2009,1/2017
Ivanka Trump NE278e,124,TNGC PINE HILL LLC (golf club),"New York, New York",Limited Liability Company,Vice President,11/2009,1/2017
Ivanka Trump NE278e,125,TNGC PINE HILL MEMBER CORP (pass-thru company for TNGC PINE HILL LLC (golf club)),"New York, New York",Corporation,Vice President,11/2009,1/2017
Ivanka Trump NE278e,126,TRUMP AC CASINO MARKS LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,127,TRUMP AC CASINO MARKS MEMBER CORP (pass-thru company for TRUMP AC CASINO MARKS LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,8/2010,1/2017
Ivanka Trump NE278e,128,TRUMP ACQUISITION CORP (pass-thru company for TRUMP ACQUISITION LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,2/2008,1/2017
Ivanka Trump NE278e,129,TRUMP ACQUISITION LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,6/2008,1/2017
Ivanka Trump NE278e,130,"TRUMP CANADIAN SERVICES, INC. (dormant/inactive)","New York, New York",Corporation,Vice President,6/2016,1/2017
Ivanka Trump NE278e,131,TRUMP CAROUSEL MEMBER CORP (pass- thru company for TRUMP CAROUSEL LLC (carousel operator)),"New York, New York",Corporation,Vice President,2/2010,1/2017
Ivanka Trump NE278e,132,TRUMP CHICAGO COMMERCIAL MEMBER CORP (pass-thru company for TRUMP CHICAGO COMMERCIAL MANAGER LLC (management company)),"New York, New York",Corporation,Vice President,7/2010,1/2017
Ivanka Trump NE278e,133,TRUMP CHICAGO COMMERCIAL MANAGER LLC (management company),"New York, New York",Limited Liability Company,Vice President,6/2010,1/2017
Ivanka Trump NE278e,134,TRUMP CHICAGO HOTEL MANAGER LLC (management company),"New York, New York",Limited Liability Company,Vice President,6/2010,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,135,TRUMP CHICAGO HOTEL MEMBER CORP (pass-thru company for TRUMP CHICAGO HOTEL MANAGER LLC (management company)),"New York, New York",Corporation,Vice President,7/2010,1/2017
Ivanka Trump NE278e,136,TRUMP CHICAGO RESIDENTIAL MANAGER LLC (management company),"New York, New York",Limited Liability Company,Vice President,6/2010,1/2017
Ivanka Trump NE278e,137,TRUMP CHICAGO RESIDENTIAL MEMBER CORP (pass-thru company for TRUMP CHICAGO RESIDENTIAL MANAGER LLC (management company)),"New York, New York",Corporation,Vice President,7/2010,1/2017
Ivanka Trump NE278e,138,TRUMP CHICAGO RETAIL LLC (residential & commercial real estate),"New York, New York",Limited Liability Company,Executive Vice President,10/2012,1/2017
Ivanka Trump NE278e,139,TRUMP CHICAGO RETAIL MANAGER LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,10/2012,1/2017
Ivanka Trump NE278e,140,TRUMP CHICAGO RETAIL MEMBER CORP (pass-thru company for TRUMP CHICAGO RETAIL MANAGER LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,10/2012,1/2017
Ivanka Trump NE278e,141,TRUMP COMMERCIAL CHICAGO LLC (residential & commercial real estate),"New York, New York",Limited Liability Company,Vice President,10/2007,1/2017
Ivanka Trump NE278e,142,TRUMP DEVELOPMENT SERVICES LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,9/2009,1/2017
Ivanka Trump NE278e,143,TRUMP DEVELOPMENT SERVICES MEMBER CORP (dormant/inactive),"New York, New York",Corporation,Vice President,9/2009,1/2017
Ivanka Trump NE278e,144,TRUMP DRINKS ISRAEL LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,5/2011,1/2017
Ivanka Trump NE278e,145,TRUMP ENDEAVOR 12 LLC (golf courses & resort),"New York, New York",Limited Liability Company,Executive Vice President,10/2011,1/2017
Ivanka Trump NE278e,146,TRUMP ENDEAVOR 12 MANAGER CORP (pass-thru company for TRUMP ENDEAVOR 12 LLC (golf courses & resort)),"New York, New York",Corporation,Executive Vice President,10/2011,1/2017
Ivanka Trump NE278e,147,TRUMP FERRY POINT LLC (golf course),"New York, New York",Limited Liability Company,Executive Vice President,6/2010,1/2017
Ivanka Trump NE278e,148,TRUMP FERRY POINT MEMBER CORP (pass- thru company for TRUMP FERRY POINT LLC (golf courses)),"New York, New York",Corporation,Vice President,6/2010,1/2017
Ivanka Trump NE278e,,,,TYPE,,,
Ivanka Trump NE278e,149,TRUMP GOLF ACQUISITIONS LLC (entity set up to sign letters of intent for golf related deals),"New York, New York",Limited Liability Company,Executive Vice President,4/2010,1/2017
Ivanka Trump NE278e,150,TRUMP GOLF COCO BEACH LLC (dormant/inactive),"New York, New York",Limited Liability Company,Vice President,12/2007,1/2017
Ivanka Trump NE278e,151,TRUMP GOLF COCO BEACH MEMBER CORP (pass-thru company for TRUMP GOLF COCO BEACH LLC (dormant/inactive)),"New York, New York",Corporation,Vice President,12/2007,1/2017
Ivanka Trump NE278e,152,TRUMP HOME MARKS LLC (license holder),"New York, New York",Limited Liability Company,Vice President,11/2009,1/2017
Ivanka Trump NE278e,153,TRUMP HOME MARKS MEMBER CORP (pass- thru company for TRUMP HOME MARKS LLC (license holder)),"New York, New York",Corporation,Vice President,11/2009,1/2017
Ivanka Trump NE278e,154,TRUMP INTERNATIONAL DEVELOPMENT LLC (dormant/inactive),"New York, New York",Limited Liability Company,Executive Vice President,11/2010,1/2017
Ivanka Trump NE278e,155,TRUMP INTERNATIONAL DEVELOPMENT MEMBER CORP (pass-thru company for TRUMP INTERNATIONAL DEVELOPMENT LLC (dormant/inactive)),"New York, New York",Corporation,Executive Vice President,11/2010,1/2017
Ivanka Trump NE278e,156,TRUMP INTERNATIONAL HOTEL HAWAII LLC (license holder),"New York, New York",Limited Liability Company,Vice President,9/2009,1/2017
Ivanka Trump NE278e,157,TRUMP INTERNATIONAL HOTELS MANAGEMENT LLC (management company),"New York, New York",Limited Liability Company,Vice President,6/2006,1/2017
Ivanka Trump NE278e,158,TRUMP LAS VEGAS CORP (pass-thru company for TRUMP LAS VEGAS MEMBER LLC (pass-thru entity)),"Las Vegas, Nevada",Corporation,Vice President,12/2009,1/2017
Ivanka Trump NE278e,159,TRUMP LAS VEGAS DEVELOPMENT LLC (entity set up to receive development fees),"Las Vegas, Nevada",Limited Liability Company,Vice President,11/2009,1/2017
Ivanka Trump NE278e,160,TRUMP MARKETING LLC (license deal),"New York, New York",Limited Liability Company,Executive Vice President,2/2011,1/2017
Ivanka Trump NE278e,161,"TRUMP MARKS ASIA CORP (pass-thru company for TRUMP MARKS ASIA LLC (residential real estate in Sterling, VA))","New York, New York",Corporation,Vice President,3/2008,1/2017
Ivanka Trump NE278e,162,"TRUMP MARKS ASIA LLC (residential real estate in Sterling, VA)","New York, New York",Limited Liability Company,Vice President,2/2008,1/2017
