file,#,description,eif,value,income-type,income-amount
Kushner NE278e,6.8,"DT Lido Hotel Manager LLC (Management of Future Hotel; New York, NY)",,,,
Kushner NE278e,6.9,"DT Lido Technical Services Manager LLC (Technical services for hotel construction; New York, NY)",,,,
Kushner NE278e,6.10,"DT Tower Gurgaon LLC (license deal in India; New York, NY)",,,,
Kushner NE278e,7,"TRUMP PAYROLL CORP (New York, NY)",N/A,,Salary and Severance,
Kushner NE278e,8,"GCM Trust (Trustee; New York, NY)",N/A,,Trustee Fees,
Kushner NE278e,9,"Trump Payroll Corp, 401(k) plan",No,,,
Kushner NE278e,9.1,Fidelity Overseas Fund (FOSFX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,9.2,Fidelity Growth Company (FDGRX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,9.3,Fidelity Value Fund (FDVLX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,9.4,Fidelity Dividend Growth Fund (FDGFX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,9.5,Fidelity Freedom 2040 Fund (FFFFX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,10,"""The Trump Card,"" Simon & Schuster (value not readily ascertainable)",N/A,,,None (or less than $201)
Kushner NE278e,11,IT OPERATIONS LLC (all assets reflected in the Ivanka M. Trump Business Trust),N/A,,Rent or Royalties,"Over $5,000,000"
Kushner NE278e,12,"WWW OPERATIONS LLC (holds URL associated with Women Who Work; value not readily ascertainable; New York, NY)",N/A,,,None (or less than $201)
Kushner NE278e,13,"TTT Consulting LLC (Consulting, licensing, and management services for real estate projects; New York, NY)",N/A,,Guaranteed Payment,"$14,374"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,14,Screen Actors Guild - Producers Pension Plan (defined benefit pension plan - value not readily ascertainable),N/A,,,None (or less than $201)
Kushner NE278e,15,Universal City Studios LLC (Residuals from appearances on Saturday Night Live and Late Night with Jimmy Fallon) (value not readily ascertainable),N/A,,Rent or Royalties,"$201 - $1,000"
Kushner NE278e,16,MGM/Mark Burnett Productions (Residuals from The Apprentice) (value not readily ascertainable),N/A,,,None (or less than $201)
Kushner NE278e,17,"Ivanka OPO, LLC (Investment in Trump Old Post Office LLC; Washington, DC)",N/A,,Hotel-Related Revenue,"$529,590"
