file,part,#,endnote
Ivanka Trump NE278e,2.,2.8,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.10,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.12,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.14,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.16,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.18,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.20,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.22,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,2.23,This asset has been merged into IT Operations Managing Member Corp.
Ivanka Trump NE278e,2.,3,Filer resigned from her positions at the Trump Organization in January 2017.
Ivanka Trump NE278e,2.,4,Income is for the period 1/1/2016 - 5/30/2017
Ivanka Trump NE278e,2.,5,"Filer previously received fees through these businesses that varied based on the performance of the business, but now will receive fixed payments that have been cross-guaranteed.  Filer has not received any of the fixed payments to date in 2017."
Ivanka Trump NE278e,2.,6,"Filer previously received fees through these businesses that varied based on the performance of the business, but now will receive fixed payments that have been cross-guaranteed."
Ivanka Trump NE278e,2.,7,"Filer previously received fees through these businesses that varied based on the performance of the business, but now will receive fixed payments that have been cross-guaranteed."
Ivanka Trump NE278e,2.,8,"Filer previously received fees through these businesses that varied based on the performance of the business, but now will receive fixed payments that have been cross-guaranteed.  Filer has not received any of these fixed payments to date in 2017."
Ivanka Trump NE278e,2.,9,"Book was released May 2, 2017"
Ivanka Trump NE278e,2.,12,Filer resigned from her position as trustee in December 2016.
Ivanka Trump NE278e,3.,6,Arrangement start date is estimated
Ivanka Trump NE278e,5.,2,This asset has been divested.
Ivanka Trump NE278e,6.,1.1,"The structure of this entity is as follows: 1.1.1  ELMWOOD CHICAGO HOLDING, LLC (Commercial Real Estate in Chicago, IL) 1.1.1.1  ELMWOOD CHICAGO MEMBER, LLC (Commercial Real Estate in Chicago, IL) 1.1.1.1.1  ELMWOOD CHICAGO ASSOCIATES, LLC (Commercial Real Estate in Chicago, IL)"
Ivanka Trump NE278e,6.,1.2,"The structure of this entity is as follows: 1.2.1  LANDINGS CHICAGO HOLDING, LLC (Commercial Real Estate in Chicago, IL) 1.2.1.1  LANDINGS CHICAGO MEMBER, LLC (Commercial Real Estate in Chicago, IL) 1.2.1.1.1  LANDINGS CHICAGO ASSOCIATES, LLC (Commercial Real Estate in Chicago, IL)"
Ivanka Trump NE278e,6.,1.3,"The structure of this entity is as follows: 1.3.1  OAKWOOD CHICAGO HOLDING, LLC (Commercial Real Estate in Chicago, IL) 1.3.1.1  OAKWOOD CHICAGO MEMBER, LLC (Commercial Real Estate in Chicago, IL) 1.3.1.1.1  OAKWOOD CHICAGO ASSOCIATES, LLC (Commercial Real Estate in Chicago, IL)"
Ivanka Trump NE278e,6.,1.4,"The structure of this entity is as follows: 1.4.1  WALLKILL CHICAGO HOLDING, LLC (Commercial Real Estate in Chicago, IL) 1.4.1.1  WALLKILL CHICAGO MEMBER, LLC (Commercial Real Estate in Chicago, IL) 1.4.1.1.1  WALLKILL CHICAGO ASSOCIATES, LLC (Commercial Real Estate in Chicago, IL)"
Ivanka Trump NE278e,6.,1.5,"The structure of this entity is as follows: 1.5.1  EAST 9TH MANAGER LLC (Residential Real Estate in New York, NY) 1.5.1.1  KUSHNER VILLAGE 329 EAST 9TH LLC (Residential Real Estate in New York, NY) 1.5.2  KUSHNER VILLAGE 3 SPE LLC (Residential Real Estate in New York, NY) 1.5.2.1  KUSHNER VILLAGE 329 EAST 9TH LLC (Residential Real Estate in New York, NY) 1.5.2.2  KUSHNER VILLAGE 325 EAST 10TH LLC (Residential Real Estate in New York, NY) 1.5.3  KUSHNER VILLAGE 4 SPE LLC (Residential Real Estate in New York, NY) 1.5.3.1  315 EAST 10TH STREET LLC (Residential Real Estate in New York, NY) 1.5.3.2  118-120 EAST FOURTH OWNER LLC (Residential Real Estate in New York, NY) 1.5.3.3  195 EAST FOURTH OWNER LLC (Residential Real Estate in New York, NY) 1.5.3.4  199-203 EAST FOURTH OWNER LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,1.6,"The structure of this entity is as follows: 1.6.1  NEW PUCK INVESTORS, LLC (Commercial Real Estate in New York, NY) 1.6.1.1  NEW PUCK, LLC (Commercial Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,1.8,"This asset has been divested.  The structure of this entity is as follows: 1.8.1  BPA CENTER LLC (Commercial Real Estate in New York, NY) 1.8.1.1  666 ASSOCIATES, LP (Commercial Real Estate in New York, NY) 1.8.1.1.1  FIFTH K TWO, L.L.C. (Commercial Real Estate in New York, NY) 1.8.1.1.1.1  666 FIFTH EQUITY LLC (Commercial Real Estate in New York, NY) 1.8.1.1.1.1.1  666 FIFTH ASSOCIATES LLC (Commercial Real Estate in New York, NY) 1.8.1.1.2  666 KUSHNER LENDER LLC (Commercial Real Estate in New York, NY) 1.8.1.1.2.1  666 FIFTH ASSOCIATES LLC (Commercial Real Estate in New York, NY) 1.8.1.1.3  666 FIFTH CLEANING LLC (Commercial Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,1.9,This asset has been divested.
Ivanka Trump NE278e,6.,2.1,See item 1.1 for entity structure.
Ivanka Trump NE278e,6.,2.2,See item 1.2 for entity structure.
Ivanka Trump NE278e,6.,2.3,See item 1.3 for entity structure.
Ivanka Trump NE278e,6.,2.4,See item 1.4 for entity structure.
Ivanka Trump NE278e,6.,2.5,See item 1.5 for entity structure.
Ivanka Trump NE278e,6.,2.6,"The structure of this entity is as follows: 2.6.1  VILLAGE JV SPE LLC (Residential Real Estate in New York, NY) 2.6.1.1  120 MACDOUGAL STREET REALTY LLC (Residential Real Estate in New York, NY) 2.6.1.2  267 EAST 10TH STREET REALTY LLC (Residential Real Estate in New York, NY) 2.6.1.3  435 EAST 9TH STREET REALTY LLC (Residential Real Estate in New York, NY) 2.6.1.4  156 SULLIVAN STREET REALTY LLC (Residential Real Estate in New York, NY) 2.6.1.5  318 EAST 11TH STREET REALTY LLC (Residential Real Estate in New York, NY) 2.6.1.6  54 BARROW STREET ASSOCIATES LLC (Residential Real Estate in New York, NY) 2.6.1.7  99 EAST 7TH STREET REALTY LLC (Residential Real Estate in New York, NY) 2.6.1.8  318 EAST 6TH STREET REALTY LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,2.7,"The structure of this entity is as follows: 2.7.1  VILLAGE JV SPE LLC (Residential Real Estate in New York, NY) 2.7.1.1  VILLAGE JV 129 FIRST AVENUE LLC (Residential Real Estate in New York, NY) 2.7.1.2  VILLAGE JV 143 FIRST AVENUE LLC (Residential Real Estate in New York, NY) 2.7.1.3  VILLAGE JV 165 AVENUE A LLC (Residential Real Estate in New York, NY) 2.7.1.4  VILLAGE JV 191-193 AVENUE A LLC (Residential Real Estate in New York, NY) 2.7.1.5  VILLAGE JV 201 EAST 2ND STREET LLC (Residential Real Estate in New York, NY) 2.7.1.6  VILLAGE JV 211 AVENUE A LLC (Residential Real Estate in New York, NY) 2.7.1.7  VILLAGE JV 338 EAST 11TH LLC (Residential Real Estate in New York, NY) 2.7.1.8  VILLAGE JV 435 12TH LLC (Residential Real Estate in New York, NY) 2.7.1.9  VILLAGE JV 500 EAST 11TH LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,2.8,"The structure of this entity is as follows: 2.8.1  NORTHERN LIBERTIES JV, LLC (Residential Real Estate in Philadelphia, PA) 2.8.1.1  NORTHERN LIBERTIES GP, LLC (Residential Real Estate in Philadelphia, PA) 2.8.1.1.1  LIBERTIES WALK ASSOCIATES, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.2  PIAZZA, LLC (Residential Real Estate in Philadelphia, PA) 2.8.1.1.3  PIAZZA PARTNERS I, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.4  1050 NORTH HANCOCK PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.5  1010 NORTH HANCOCK PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.6  109 WILDEY PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.7  1011 NORTH HANCOCK PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.8  1022 ASSOCIATES, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.9  LW TOWNHOME PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.10  GEORGE STREET PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.11   LW PARTNERS III, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.1.12  1031 GERMANTOWN PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.2  LIBERTIES WALK ASSOCIATES, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.3  PIAZZA, LLC (Residential Real Estate in Philadelphia, PA) 2.8.1.4  PIAZZA PARTNERS I, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.5  1050 NORTH HANCOCK PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.6  1010 NORTH HANCOCK PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.7  109 WILDEY PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.8  1011 NORTH HANCOCK PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.9  1022 ASSOCIATES, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.10  LW TOWNHOME PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.11  GEORGE STREET PARTNERS, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.12  LW PARTNERS III, LP (Residential Real Estate in Philadelphia, PA) 2.8.1.13  1031 GERMANTOWN PARTNERS, LP (Residential Real Estate in Philadelphia, PA)"
Ivanka Trump NE278e,6.,2.10,See item 1.6 for entity structure.
Ivanka Trump NE278e,6.,2.11,"The structure of this entity is as follows:  2.11.1 BROOKLYN KF NORTH 1 ASSOCIATES, LLC  (Residential Real Estate in Brooklyn, NY) 2.11.1.1  50 NORTH ONE LLC (Residential Real Estate in Brooklyn, NY) 2.11.2  PUCK LEONIA LLC  (Residential Real Estate in Leonia, NJ)"
Ivanka Trump NE278e,6.,2.18,This asset has been divested.
Ivanka Trump NE278e,6.,2.19,This asset has been divested.
Ivanka Trump NE278e,6.,2.20,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.21,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.22,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.23,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.24,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.25,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.26,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.27,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,2.28,This asset has been divested.  Income amount is estimated.
Ivanka Trump NE278e,6.,3.2,"The structure of this entity is as follows: 3.2.1  95 BAUER DRIVE ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.2  19-05 NEVINS ROAD ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.3  15-00 POLLITT DRIVE ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.4  17-01 POLLITT DRIVE ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.5  19-00 POLLITT DRIVE ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.6  40 POTASH ROAD ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.7  5 THORNTON ROAD ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ) 3.2.8  128 BAUER DRIVE ASSOCIATES, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)"
Ivanka Trump NE278e,6.,3.10,"This asset has been divested.  The structure of this entity is as follows: 3.10.1  NJ MALL ASSOCIATES LLC (Commercial Real Estate in Eatontown, NJ) 3.10.1.1  EATONTOWN MONMOUTH MALL HOLDINGS LLC (Commercial Real Estate in Eatontown, NJ) 3.10.1.1.1  EATONTOWN MONMOUTH MALL (JUNIOR MEZZ) LLC (Commercial Real Estate in Eatontown, NJ) 3.10.1.1.1.1  EATONTOWN MONMOUTH MALL (SENIOR MEZZ) LLC (Commercial Real Estate in Eatontown, NJ) 3.10.1.1.1.1.1  EATONTOWN MONMOUTH MALL LLC (Commercial Real Estate in Eatontown, NJ)"
Ivanka Trump NE278e,6.,3.11,"This asset has been divested.  The structure of this entity is as follows: 3.11.1  EATONTOWN MONMOUTH MALL HOLDINGS LLC (Commercial Real Estate in Eatontown, NJ) 3.11.1.1  EATONTOWN MONMOUTH MALL (JUNIOR MEZZ) LLC (Commercial Real Estate in Eatontown, NJ) 3.11.1.1.1  EATONTOWN MONMOUTH MALL (SENIOR MEZZ) LLC (Commercial Real Estate in Eatontown, NJ) 3.11.2  EATONTOWN MONMOUTH MALL LLC (Commercial Real Estate in Eatontown, NJ)"
Ivanka Trump NE278e,6.,3.12,"This asset has been divested.  The structure of this entity is as follows: 3.12.1  VM KUSHNER (JUNIOR MEZZ) LLC (Commercial Real Estate in Eatontown, NJ) 3.12.1.1  VM KUSHNER (SENIOR MEZZ) LLC (Commercial Real Estate in Eatontown, NJ) 3.12.1.1.1  VM KUSHNER LLC (Commercial Real Estate in Eatontown, NJ)"
Ivanka Trump NE278e,6.,3.13,"The structure of this entity is as follows: 3.13.1  125 ALGONQUIN ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ) 3.13.2  145 ALGONQUIN ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ) 3.13.3  156 ALGONQUIN ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ) 3.13.4  30 LESLIE ASSOCIATES, LLC (Industrial Real Estate in Whippany, NJ)"
Ivanka Trump NE278e,6.,3.15,"The structure of this entity is as follows: 3.15.1  SKYLINE JV PARTNERSHIP, L.P. (Residential Real Estate in Hasbrouck Heights & Lodi, NJ) 3.15.1.1  SKYLINE GP, LLC (Residential Real Estate in Hasbrouck Heights & Lodi, NJ) 3.15.1.1.1  SKYLINE PROPERTY OWNER, LP (Residential Real Estate in Hasbrouck Heights & Lodi, NJ) 3.15.1.2  SKYLINE PROPERTY OWNER, LP (Residential Real Estate in Hasbrouck Heights & Lodi, NJ) 3.15.1.3  BOULEVARD GP, LLC (Residential Real Estate in Hasbrouck Heights & Lodi, NJ) 3.15.1.3.1  BOULEVARD PROPERTY OWNER, LP (Residential Real Estate in Hasbrouck Heights & Lodi, NJ) 3.15.1.4  BOULEVARD PROPERTY OWNER, LP (Residential Real Estate in Hasbrouck Heights & Lodi, NJ)"
Ivanka Trump NE278e,6.,3.17,"The structure of this entity is as follows: 3.17.1  THIRTY VREELAND ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ)"
Ivanka Trump NE278e,6.,3.18,"The structure of this entity is as follows: 3.18.1  55 CHALLENGER LLC (Commercial Real Estate in Ridgefield Park, NJ)"
Ivanka Trump NE278e,6.,3.21,This asset has been divested.
Ivanka Trump NE278e,6.,3.22,This asset has been divested.
Ivanka Trump NE278e,6.,3.23,This asset has been divested.
Ivanka Trump NE278e,6.,3.24,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,3.25,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,3.26,This asset has been divested. Income amount is estimated.
Ivanka Trump NE278e,6.,3.27,This asset has been divested.
Ivanka Trump NE278e,6.,4.1,"The structure of this entity is as follows: 4.1.1  KCLW ACQUISITION MANAGER LLC (Residential Real Estate in Brooklyn, NY) 4.1.1.1  KCLW ACQUISITION LLC (Residential Real Estate in Brooklyn, NY) 4.1.1.1.1  RP/K KENT AVENUE, LLC (Residential Real Estate in Brooklyn, NY) 4.1.1.1.1.1  MARATHON/JTR WILLIAMSBURG HOLDINGS, LLC (Residential Real Estate in Brooklyn, NY) 4.1.1.1.1.1.1  184 KENT FEE, LLC (Residential Real Estate in Brooklyn, NY) 4.1.1.1.1.1.1.1  184 KENT FEE, LLC (Residential Real Estate in Brooklyn, NY) 4.1.1.1.1.1.1.1.1  184 KENT OWNER, LLC (Residential Real Estate in Brooklyn, NY)"
Ivanka Trump NE278e,6.,4.2,"The structure of this entity is as follows: 4.2.1 CHATHAM HILL HOLDINGS, LLC (Residential Real Estate in Chatham, NJ) 4.2.1.1  CHATHAM PARENT, LLC (Residential Real Estate in Chatham, NJ) 4.2.1.1.1  CHATHAM HOLDER, LLC (Residential Real Estate in Chatham, NJ)"
Ivanka Trump NE278e,6.,4.3,See item 1.1 for entity structure.
Ivanka Trump NE278e,6.,4.4,See item 1.2 for entity structure.
Ivanka Trump NE278e,6.,4.5,"The structure of this entity is as follows: 4.5.1  80 WEST END PARTNERS LLC (Residential Real Estate in Long Branch, NJ and Commercial Real Estate in Astoria, NY) 4.5.1.1  PIER VILLAGE I URBAN RENEWAL COMPANY LLC (Residential Real Estate in Long Branch, NJ) 4.5.1.2  PIER VILLAGE II URBAN RENEWAL COMPANY LLC (Residential Real Estate in Long Branch, NJ) 4.5.1.3  KB ASTORIA LLC (Commercial Real Estate in Astoria, NY)"
Ivanka Trump NE278e,6.,4.6,"The structure of this entity is as follows: 4.6.1  KCLW 3RD STREET LLC (Undeveloped Real Estate in Brooklyn, NY) 4.6.1.1  175-225 THIRD JV LLC (Undeveloped Real Estate in Brooklyn, NY) 4.6.1.1.1  175-225 THIRD OWNER LLC (Undeveloped Real Estate in Brooklyn, NY)"
Ivanka Trump NE278e,6.,4.7,"The structure of this entity is as follows: 4.7.1  HARLEM PORTFOLIO PROPERTIES, LLC (Residential Real Estate in New York, NY) 4.7.1.1  HARLEM 151-133 ASSOCIATES, LLC (Residential Real Estate in New York, NY) 4.7.1.1.1  VILLAGE KF 12TH ASSOCIATES, LLC (Residential Real Estate in New York, NY) 4.7.1.1.1.1  VILLAGE KF 516 EAST 13TH LLC (Residential Real Estate in New York, NY) 4.7.1.1.1.2  VILLAGE KF 504 EAST 12TH LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.8,"The structure of this entity is as follows: 4.8.1  K2 26JS MEMBER LLC (Commercial Real Estate in Jersey City, NJ) 4.8.1.1  K2W2 26JS HOLDINGS LLC (Commercial Real Estate in Jersey City, NJ) 4.8.1.1.1  26 JOURNAL MASTER TENANT LLC (Commercial Real Estate in Jersey City, NJ) 4.8.1.1.2  26 JOURNAL SQUARE MEMBER LLC (Commercial Real Estate in Jersey City, NJ) 4.8.1.1.2.1  26 JOURNAL SQUARE OWNER LLC (Commercial Real Estate in Jersey City, NJ)"
Ivanka Trump NE278e,6.,4.9,"The structure of this entity is as follows: 4.9.1  30 JOURNAL SQUARE PARTNERS, LLC (Undeveloped Real Estate in Jersey City, NJ)"
Ivanka Trump NE278e,6.,4.10,"The structure of this entity is as follows: 4.10.1  CADRE ASTORIA LLC (Residential Real Estate in Astoria, NY) 4.10.1.1  CADRE ASTORIA 23-05 30TH LLC (Residential Real Estate in Astoria, NY) 4.10.1.2  CADRE ASTORIA 23-15 30TH LLC (Residential Real Estate in Astoria, NY) 4.10.1.3  CADRE ASTORIA 21-80 38TH LLC (Residential Real Estate in Astoria, NY) 4.10.1.4  CADRE ASTORIA 21-81 38TH LLC (Residential Real Estate in Astoria, NY)"
Ivanka Trump NE278e,6.,4.11,"The structure of this entity is as follows: 4.11.1  EV JV PARTNERSHIP, L.P. (Residential Real Estate in New York, NY) 4.11.1.1  VILLAGE UK VENTURE, LLC (Residential Real Estate in New York, NY) 4.11.1.1.1  EV AVENUE A PROPERTY OWNER, LP (Residential Real Estate in New York, NY) 4.11.1.1.2  EV 1ST AVENUE PROPERTY OWNER, LP (Residential Real Estate in New York, NY) 4.11.1.2  EV AVENUE A PROPERTY OWNER, LP (Residential Real Estate in New York, NY) 4.11.1.3  EV 1ST AVENUE PROPERTY OWNER, LP (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.12,"The structure of this entity is as follows: 4.12.1  VILLAGE KF 2 ASSOCIATES LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.13,"The structure of this entity is as follows: 4.13.1  EAST 9TH MANAGER LLC (Residential Real Estate in New York, NY) 4.13.1.1  KUSHNER VILLAGE 329 EAST 9TH LLC (Residential Real Estate in New York, NY) 4.13.2  KUSHNER VILLAGE 3 SPE LLC (Residential Real Estate in New York, NY) 4.13.2.1  KUSHNER VILLAGE 329 EAST 9TH LLC (Residential Real Estate in New York, NY) 4.13.2.2  KUSHNER VILLAGE 325 EAST 10TH LLC (Residential Real Estate in New York, NY) 4.13.3  KUSHNER VILLAGE 4 SPE LLC (Residential Real Estate in New York, NY) 4.13.3.1  315 EAST 10TH STREET LLC (Residential Real Estate in New York, NY) 4.13.3.2  118-120 EAST FOURTH OWNER LLC (Residential Real Estate in New York, NY) 4.13.3.3  195 EAST FOURTH OWNER LLC (Residential Real Estate in New York, NY) 4.13.3.4  199-203 EAST FOURTH OWNER LLC (Residential Real Estate in New York, NY)"
Ivanka Trump NE278e,6.,4.14,"The structure of this entity is as follows: 4.14.1  K MORGAN STREET, LLC (Residential Real Estate in Jersey City, NJ) 4.14.1.1  MORGAN STREET DEVELOPERS JOINT VENTURE, LLC (Residential Real Estate in Jersey City, NJ) 4.14.1.1.1  MORGAN STREET DEVELOPERS MEZZ ASSOCIATES, LLC (Residential Real Estate in Jersey City, NJ) 4.14.1.1.1.1  MORGAN STREET DEVELOPERS URBAN RENEWAL  COMPANY, LLC (Residential Real Estate in Jersey City, NJ)"
Ivanka Trump NE278e,6.,4.15,"This asset has been divested.  Capital gains amount is estimated.  The structure of this entity is as follows: 4.15.1  K2 ONE JOURNAL SQUARE MEMBER LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.1  ONE JOURNAL SQUARE TOWER SOUTH HOLDINGS LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.1.1  ONE JOURNAL SQUARE TOWER SOUTH MEMBER LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.1.1.1  ONE JOURNAL SQUARE TOWER SOUTH URBAN RENEWAL COMPANY LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.2  ONE JOURNAL SQUARE PARTNERS HOLDINGS LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.2.1  ONE JOURNAL SQUARE PARTNERS MEMBER LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.2.1.1  ONE JOURNAL SQUARE PARTNERS URBAN RENEWAL COMPANY LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.3  ONE JOURNAL SQUARE TOWER NORTH HOLDINGS LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.3.1  ONE JOURNAL SQUARE TOWER NORTH MEMBER LLC (Undeveloped Real Estate in Jersey City, NJ) 4.15.1.3.1.1  ONE JOURNAL SQUARE TOWER NORTH URBAN RENEWAL COMPANY LLC (Undeveloped Real Estate in Jersey City, NJ)"
Ivanka Trump NE278e,6.,4.16,"The structure of this entity is as follows: 4.16.1  KC DUMBO HOLDING LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1  RFR/K DUMBO LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.1  WATCHOWER CONSTRUCTION MANAGER LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.2  WATCHTOWER PROPERTY MANAGER LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.3  WATCHTOWER LEASING LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.4  DUMBO PROMOTE (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5  DUMBO WT VENTURE LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5.1  DUMBO WT SUB LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5.1.1  117 ADAMS OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5.1.2  77 SANDS OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5.1.3  55 PROSPECT OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5.1.4  81 PROSPECT OWNER LLC (Commercial Real Estate in Brooklyn, NY) 4.16.1.1.5.1.5  175 PEARL OWNER LLC (Commercial Real Estate in Brooklyn, NY)"
