file,#,description,eif,value,income-type,income-amount
Kushner NE278e,108,PRINCIPAL SM-MID CP DIV P (PMDPX),Yes,"$50,001 - $100,000",,None (or less than $201)
Kushner NE278e,109,ROCKWELL AUTOMATION INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$1,001 - $2,500"
Kushner NE278e,110,SCHLUMBERGER LTD NETHERLANDS ANTILLES,N/A,"None (or less than $1,001)",Capital Gains Dividends,"$201 - $1,000"
Kushner NE278e,111,VANGUARD VALUE ETF (VTV),Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,112,VANGUARD GROWTH ETF (VUG),Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,113,BOEING COMPANY,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Kushner NE278e,114,DOMINION RESOURCES INC VA,N/A,"None (or less than $1,001)",,None (or less than $201)
Kushner NE278e,115,HOME DEPOT INC,N/A,"None (or less than $1,001)",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,116,ISHARES MSCI EAFE ETF (EFA),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,117,MICROSOFT CORP,N/A,"None (or less than $1,001)",Capital Gains Dividends,"$201 - $1,000"
Kushner NE278e,118,NEXTERA ENERGY INC,N/A,"None (or less than $1,001)",,None (or less than $201)
Kushner NE278e,119,OPPENHEIMER DEVELOPING MARKETS (ODVYX),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,120,ROCKWELL AUTOMATION INC,N/A,"None (or less than $1,001)",Dividends Capital Gains,"$201 - $1,000"
Kushner NE278e,121,SCHLUMBERGER LTD NETHERLANDS ANTILLES,N/A,"None (or less than $1,001)",,None (or less than $201)
Kushner NE278e,122,VANGUARD VALUE ETF (VTV),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,123,VANGUARD GROWTH ETF (VUG),Yes,"$1,001 - $15,000",,None (or less than $201)
Kushner NE278e,124,"80 ML, LLC (Commercial real estate in New York, NY)",N/A,"$1,001 - $15,000",Rent or Royalties,"$201 - $1,000"
Kushner NE278e,125,"KF MIDDLE RIVER, LLC (Residential real estate in Middle River & Essex, MD)",N/A,"$1,001 - $15,000",Rent or Royalties,"$201 - $1,000"
Kushner NE278e,126,"KF WESTWOOD PARTNER, LLC (Residential real estate in Westwood & River Vale, NJ)",N/A,"$1,001 - $15,000",Rent or Royalties,"$1,001 - $2,500"
Kushner NE278e,127,"WESTMINSTER TITLE ASSOCIATES, LLC (Insurance brokerage license; Florham Park, NJ)",N/A,"None (or less than $1,001)",Brokerage commissions,"$157,947"
Kushner NE278e,128,"BRUCKNER PLAZA CENTER CORP. (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Rent or Royalties Capital Gains,"$100,001 - $1,000,000"
Kushner NE278e,129,NEWS CORPORATION,N/A,"None (or less than $1,001)",Capital Gains,"$1,001 - $2,500"
Kushner NE278e,130,21ST CENTURY FOX,N/A,"None (or less than $1,001)",Capital Gains,"$5,001 - $15,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,131,ISHARES MSCI EAFE ETF,Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,132,UBS RMA Government Money Market Fund (RMGXX),Yes,"$15,001 - $50,000",,None (or less than $201)
Kushner NE278e,133,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,134,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,135,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,136,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,137,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,138,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,139,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,140,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,141,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,142,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,143,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,144,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,145,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,146,Treasury Note,N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,147,iShares Russell 1000 ETF (IWB),Yes,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,148,Powershares Nasdaq 100 ETF (QQQ),Yes,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,149,Janus Enterprise Fund Class 1 (JMGRX),Yes,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,150,Wells Fargo Special Small Cap Value (ESPNX),Yes,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,151,Metlife,N/A,"$50,001 - $100,000",Dividends,"$1,001 - $2,500"
Kushner NE278e,152,U.S. bank account #12 (cash),N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,153,U.S. bank account #13 (cash),N/A,"$1,000,001 - $5,000,000",,None (or less than $201)
Kushner NE278e,154,"C-III Recovery Fund I LP (Financial Investments; Irving, TX)",No,"None (or less than $1,001)",Capital Gains Rent or Royalties,"$100,001 - $1,000,000"
Kushner NE278e,155,20 de Bariloche LP (Real Estate in Argentina),N/A,"None (or less than $1,001)",Capital Gains,"$1,001 - $2,500"
Kushner NE278e,156,"666 KC MANAGEMENT, LLC (Management company; New York, NY)",N/A,"None (or less than $1,001)",Management Fee Income,"$3,000,000"
Kushner NE278e,157,A&Q LONG/SHORT STRATEGIES FUND LLC,Yes,"None (or less than $1,001)",,"$2,501 - $5,000"
Kushner NE278e,158,"2 Rector Kushner Member LLC (Commercial Real Estate in New York, NY)",N/A,"None (or less than $1,001)",Capital Gains,"Over $5,000,000"
Kushner NE278e,159,Artwork,N/A,"$5,000,001 - $25,000,000",,None (or less than $201)
Kushner NE278e,160,"MMLL LLC (liquor license for restaurant at Monmouth Mall, Eatontown, NJ)",N/A,"$500,001 - $1,000,000",,None (or less than $201)
Kushner NE278e,161,"ERIE CNTY NY FISCAL STABILITY AUTH SALES TAX & ST AID SECD A, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,162,"NEW YORK ST DORM AUTH ST PERSONAL INCOME TAX REVENUE RFDG SER E, bonds",N/A,"None (or less than $1,001)",Interest Capital Gains,"$1,001 - $2,500"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,163,"NEW YORK ST SER E, bonds",N/A,"None (or less than $1,001)",Interest,"$201 - $1,000"
Kushner NE278e,164,"DUTCHESS CNTY NY, bonds",N/A,"None (or less than $1,001)",Interest Capital Gains,"$1,001 - $2,500"
Kushner NE278e,165,"NEW YORK NY VAR SUBSER L 4, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,166,"NEW YORK ST DORM AUTH SALES TAX REVENUE RFDG SER A, bonds",N/A,"None (or less than $1,001)",Interest Capital Gains,"$1,001 - $2,500"
Kushner NE278e,167,"NEW YORK ST DORM AUTH ST PERSONAL INCOME TAX REVENUE UNREFUNDED SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,168,"SALES TAX ASSET RECEIVABLE CORP NY RFDG FISCAL 2015 SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$201 - $1,000"
Kushner NE278e,169,"MET TRANSPRTN AUTH NY REVENUE RFDG TRANSPRTN SER C, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,170,"NEW YORK ST SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,171,"NEW YORK NY SER B, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,172,"BATTERY PARK CITY NY AUTH SENIOR SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,173,"NEW YORK CITY NY MUNI WTR FIN AUTH WTR & SWR SYS REVEN SER AA, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,174,"NEW YORK ST DORM AUTH REVS NONST SUPPORTED DEBT CORNELL UNIV B, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,175,"PORT AUTH OF NEW YORK & NEW JERSEY NY SER 179, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,176,"NEW YORK NY SER E, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,177,"JP MORGAN CHASE BANK, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,178,"NEW YORK ST LOCAL GOVT ASSISTANCE CORP RFDG SUB LIEN SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,179,"NEW YORK ST DORM AUTH REVENUES ST SUPPORTED DEBT THIRD GEN RESOLUTION ST UNIV EDL FACS SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,180,"NEW YORK ST ENVIRON FACS CORP ST CLEAN WTR & DRINKING REVOLVING FDS- NYC MUN WTR A, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,181,"CALIFORNIA ST DEPT OF WTR RESOURCES PWR SPLY REVENUE SER M, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,182,"NEW YORK STATE URBAN DEV CORP REV RFDG SVC CONTRACT SER B, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,183,"DURHAM CNTY N C RFDG, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,184,"TRIBOROUGH NY BRIDGE & TUNNEL AUTH REVENUES GEN SER A RMKT, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,185,"EXXON MOBIL CORPORATION, bonds",N/A,"None (or less than $1,001)",Interest,"$201 - $1,000"
Kushner NE278e,186,"CHARLOTTE NC RFDG, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,187,"MET TRANSPRTN AUTH NY REVENUE TRANSN SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,188,"NEW YORK ST URBAN DEV CORP REV ST PERS INCOME TAX SER A1, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,189,"WAKE CNTY NC RFDG, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,190,"ALABAMA ST PUBLIC SCH & CLG AUTH CAP IMPT, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,191,"ECOLAB INC, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,192,"UTAH ST SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,193,"UNIV OF TEXAS TX PERMANENT UNIV FND SER B, bonds",N/A,"None (or less than $1,001)",Interest Capital Gains,"$1,001 - $2,500"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,194,"NASSAU CNTY NY INTERIM FIN AUTH RFDG SALES TAX SECURED SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,195,"OREGON ST DEPT OF TRANSPRTN HIGHWAY USER TAX REVENUE SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,196,"CNA FINL CORP, bonds",N/A,"None (or less than $1,001)",Interest,"$201 - $1,000"
Kushner NE278e,197,"GOLDMAN SACHS GROUP INC SR GLOBAL NT, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,198,"FORD MTR CR CO NT, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,199,"UTAH ST RFDG SER C, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,200,"CISCO SYS INC SR NT, bonds",N/A,"None (or less than $1,001)",Interest,"$201 - $1,000"
Kushner NE278e,201,"GREENBURGH NY, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,202,"JP MORGAN CHASE & CO, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,203,"MORGAN STANLEY, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,204,"NEW YORK ST THRUWAY AUTH 2ND GEN HIGHWAY & BRIDGE TRUST FUND SER A, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,205,"WELLS FARGO COMPANY, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,206,"NEW YORK ST, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,207,"NEW YORK ST, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,208,"NEW YORK ST, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,209,"ONONDAGA CNTY NY, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,,,,,,AMOUNT
Kushner NE278e,210,"WESTCHESTER CNTY NY, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,211,"WHITE PLAINS NY, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,212,"CALIFORNIA ST, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,213,"GEORGIA ST, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,214,"MARYLAND ST DEPT TRANSN, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,215,"BOSTON MA, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,216,"MASSACHUSETTS ST WTR POLLUTN, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,217,"MECKLENBERG CNTY NC, bonds",N/A,"None (or less than $1,001)",Interest,"$2,501 - $5,000"
Kushner NE278e,218,"WAKE CNTY NC, bonds",N/A,"None (or less than $1,001)",Interest,"$5,001 - $15,000"
Kushner NE278e,219,"VIRGINIA BEACH VA, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,220,"VIRGINIA ST, bonds",N/A,"None (or less than $1,001)",Interest,"$1,001 - $2,500"
Kushner NE278e,221,UBS RMA Government money market fund (RMGXX),Yes,"$1,001 - $15,000",,None (or less than $201)
